"","UserID","Age","Gender","Country","Device","GameGenre","SessionCount","AverageSessionLength","SpendingSegment","InAppPurchaseAmount","FirstPurchaseDaysAfterInstall","PaymentMethod","LastPurchaseDate","RecencyDays","TotalPlaytime","LogSpend","IsPayer"
"1","c9889ab0-9cfc-4a75-acd9-5eab1df0015c",49,"Male","Norway","Android","Battle Royale",9,12.83,"Minnow",11.4,28,"Apple Pay",2025-03-19,147,115.47,2.51769647261099,1
"2","7c9e413c-ecca-45f2-a780-2826a07952a2",15,"Male","Switzerland","iOS","Action RPG",11,19.39,"Minnow",6.37,18,"Debit Card",2025-06-08,66,213.29,1.99741770620125,1
"3","fd61e419-1a92-4f43-a8c7-135842ad328a",23,"Male","China","Android","Fighting",9,8.87,"Minnow",15.81,30,"Apple Pay",2025-06-02,72,79.83,2.82197394742052,1
"4","bdb7f6d1-ff9a-468c-afe7-43f32a94293e",31,"Male","Mexico","Android","Racing",12,19.56,"Minnow",13.49,9,"Debit Card",2025-04-01,134,234.72,2.67345875633259,1
"5","aa7eec14-4846-47b9-b879-9c98038cda04",37,"Female","India","Android","Battle Royale",10,15.23,"Minnow",10.86,15,"Paypal",2025-05-05,100,152.3,2.47317139356958,1
"6","992232c1-a563-4986-aa8b-b70d687d374f",38,"Female","China","Android","Fighting",16,25.97,"Dolphin",150.51,28,"Google Pay",2025-05-05,100,415.52,5.02065162937174,1
"7","702bafd0-9a08-4269-801e-faf32f9f3ca5",20,"Female","Italy","Android","Simulation",9,10.98,"Whale",608.21,24,"Debit Card",2025-06-04,70,98.82,6.41216303585674,1
"8","fc470ea9-111f-4637-a9ff-7162d81e2ec3",34,"Female","Denmark","iOS","Unknown",15,5.06,"Minnow",19.17,30,"Gift Card",2025-04-26,109,75.9,3.00419635196612,1
"9","9b2efc1e-cd4b-48ab-b893-438d57855efa",38,"Male","Japan","Android","Action RPG",10,21.82,"Minnow",11.52,1,"Paypal",2025-04-08,127,218.2,2.52732736567195,1
"10","25723b60-ea5b-4aff-9f23-97fdf5e98c58",46,"Male","Russia","iOS","Battle Royale",18,16.36,"Minnow",7.76,19,"Google Pay",2025-02-03,191,294.48,2.1701959049483,1
"11","2bb44e49-c28d-4023-ac75-33d92cb77870",29,"Male","Switzerland","iOS","MMORPG",18,27.15,"Minnow",13.44,12,"Debit Card",2025-05-06,99,488.7,2.67000213346468,1
"12","a516f724-6b0f-438c-b20b-59f5f35ab06a",31,"Male","Sweden","Android","Simulation",10,31.1,"Dolphin",0,NA,"No Purchase",NA,NA,311,0,0
"13","f72780cf-bccf-4ae5-8c12-09ee9d511322",30,"Female","Australia","Android","Role Playing",11,20.97,"Minnow",6.06,28,"Gift Card",2025-07-26,18,230.67,1.95444505150515,1
"14","659f30ff-48f1-4e76-8f82-312d98e1ba76",24,"Male","Turkey","Android","Fighting",12,28.71,"Minnow",5.9,27,"Carrier Billing",2025-08-06,7,344.52,1.93152141160321,1
"15","34c56aa2-33c0-40c0-af9b-6c5b45929851",21,"Male","South Korea","iOS","Sports",12,7.62,"Minnow",13.78,20,"Gift Card",2025-06-28,46,91.44,2.69327491552006,1
"16","ae1ccfa2-8967-4981-be8f-a5c3b0f9f394",35,"Male","Switzerland","Android","Action RPG",10,29.72,"Minnow",6.9,1,"Apple Pay",2025-01-19,206,297.2,2.06686275947298,1
"17","bb0cf750-9fd2-4329-acc8-dc40dedaff3d",37,"Female","Japan","iOS","Card",13,5.39,"Minnow",6.17,11,"Gift Card",2025-06-07,67,70.07,1.96990565461153,1
"18","cf1326be-4810-4b4d-bbc9-ff7b8c22d5ab",45,"Male","Saudi Arabia","Android","Sandbox",11,10.66,"Minnow",11.83,16,"Paypal",2025-02-14,180,117.26,2.55178617862755,1
"19","784fa153-301d-4286-adf5-3459e04e8a97",14,"Female","Sri Lanka","iOS","Racing",10,33.44,"Whale",3454.51,22,"Carrier Billing",2025-01-01,224,334.4,8.14772533746446,1
"20","9f1bd962-1ace-403e-aabb-eda9bd08e999",47,"Female","Sweden","iOS","Fighting",10,14.48,"Minnow",13.4,19,"Credit Card",2025-03-13,153,144.8,2.66722820658195,1
"21","2cd9ff69-2a0d-4df7-82d5-400d609f66f5",35,"Female","Mexico","Android","Simulation",9,25.76,"Minnow",17.37,14,"Credit Card",2025-03-26,140,231.84,2.91071889922703,1
"22","d17030c2-e861-4028-aa03-23b18d239a40",14,"Male","Japan","iOS","Puzzle",9,15.49,"Whale",4302.61,30,"Credit Card",2025-04-08,127,139.41,8.36720948435308,1
"23","9b7c844f-1891-49da-a71d-b0b2719deda5",21,"Male","Canada","Android","Strategy",9,13.64,"Whale",1945.86,19,"Gift Card",2025-02-07,187,122.76,7.57397309729124,1
"24","2bf7d319-fba5-4d64-9187-358045a4ed40",54,"Male","Canada","iOS","Role Playing",12,22.7,"Minnow",8.36,27,"Paypal",2025-03-18,148,272.4,2.2364452904895,1
"25","bab46c87-b7a7-4e1c-b56f-d1c8d2897733",47,"Male","Denmark","Android","Simulation",8,16.56,"Minnow",3.71,22,"Google Pay",2025-07-24,20,132.48,1.54968790802833,1
"26","902744c6-0620-47d6-92aa-b1d719b1d50f",52,"Male","Sri Lanka","Android","Strategy",8,15.21,"Dolphin",393.62,17,"Debit Card",2025-02-09,185,121.68,5.97792327654131,1
"27","38041854-4fcc-41f7-a662-cf466afce86f",25,"Male","Italy","iOS","Fighting",9,9.59,"Minnow",18.71,17,"Apple Pay",2025-08-08,5,86.31,2.98112612116463,1
"28","cc7fffae-d126-4f3b-bbc4-c81213b6bf69",51,"Male","India","iOS","Card",12,26.29,"Minnow",1.15,9,"Carrier Billing",2025-07-20,24,315.48,0.765467842139571,1
"29","03e7dc1d-dfe5-4677-aff4-239b6a60ad7c",18,"Male","Switzerland","Android","Casual",5,21.01,"Dolphin",356.98,18,"Google Pay",2025-08-02,11,105.05,5.88047711891835,1
"30","0d4f2cd8-6cee-4133-8cb2-435a0f6d19ef",33,"Female","Russia","iOS","Sandbox",15,8.9,"Minnow",6.24,13,"Google Pay",2025-04-09,126,133.5,1.97962120639763,1
